filename,sample_ID
BLAST110_25_P1.fcs,0
BLAST110_50_P1.fcs,1
BLAST110_57_P1.fcs,2
BLAST110_67_P1.fcs,3
BLAST110_77_P1.fcs,4
BLAST110_85_P1.fcs,5
